"","score"
"1",0.904851090228504
"2",0.889273033213934
"3",0.87150667273699
"4",0.85136612438438
"5",0.828689216319962
"6",0.803351658868913
"7",0.775282798181347
"8",0.744481802566486
"9",0.711032605197659
"10",0.904851090228504
"11",0.889273033213934
"12",0.87150667273699
"13",0.85136612438438
"14",0.828689216319962
"15",0.803351658868913
"16",0.775282798181347
"17",0.744481802566486
"18",0.711032605197659
"19",0.896376120494221
"20",0.879595151911702
"21",0.860519514989062
"22",0.838974995318782
"23",0.814818790357257
"24",0.787954677431799
"25",0.758349186182747
"26",0.726047325346974
"27",0.69118592865366
"28",0.896376120494221
"29",0.879595151911702
"30",0.860519514989062
"31",0.838974995318782
"32",0.814818790357257
"33",0.787954677431799
"34",0.758349186182747
"35",0.726047325346974
"36",0.69118592865366
"37",0.896376120494221
"38",0.879595151911702
"39",0.860519514989062
"40",0.838974995318782
"41",0.814818790357257
"42",0.758349186182747
"43",0.726047325346974
"44",0.69118592865366
"45",0.896376120494221
"46",0.879595151911702
"47",0.860519514989062
"48",0.838974995318782
"49",0.814818790357257
"50",0.787954677431799
"51",0.758349186182747
"52",0.726047325346974
"53",0.69118592865366
"54",0.904851090228504
"55",0.889273033213934
"56",0.87150667273699
"57",0.85136612438438
"58",0.828689216319962
"59",0.803351658868913
"60",0.775282798181347
"61",0.744481802566486
"62",0.711032605197659
"63",0.904851090228504
"64",0.889273033213934
"65",0.87150667273699
"66",0.85136612438438
"67",0.828689216319962
"68",0.803351658868913
"69",0.775282798181347
"70",0.744481802566486
"71",0.711032605197659
"72",0.904851090228504
"73",0.889273033213934
"74",0.87150667273699
"75",0.85136612438438
"76",0.828689216319962
"77",0.803351658868913
"78",0.775282798181347
"79",0.744481802566486
"80",0.711032605197659
"81",0.896376120494221
"82",0.896376120494221
"83",0.879595151911702
"84",0.860519514989062
"85",0.838974995318782
"86",0.814818790357257
"87",0.896376120494221
"88",0.879595151911702
"89",0.860519514989062
"90",0.838974995318782
"91",0.814818790357257
"92",0.787954677431799
"93",0.758349186182747
"94",0.726047325346974
"95",0.69118592865366
"96",0.896376120494221
"97",0.879595151911702
"98",0.860519514989062
"99",0.838974995318782
"100",0.814818790357257
"101",0.787954677431799
"102",0.758349186182747
"103",0.726047325346974
"104",0.69118592865366
"105",0.896376120494221
"106",0.879595151911702
"107",0.860519514989062
"108",0.838974995318782
"109",0.814818790357257
"110",0.787954677431799
"111",0.758349186182747
"112",0.726047325346974
"113",0.69118592865366
"114",0.896376120494221
"115",0.879595151911702
"116",0.860519514989062
"117",0.838974995318782
"118",0.814818790357257
"119",0.787954677431799
"120",0.758349186182747
"121",0.726047325346974
"122",0.69118592865366
"123",0.896376120494221
"124",0.879595151911702
"125",0.860519514989062
"126",0.838974995318782
"127",0.814818790357257
"128",0.787954677431799
"129",0.758349186182747
"130",0.726047325346974
"131",0.69118592865366
"132",0.904851090228504
"133",0.889273033213934
"134",0.87150667273699
"135",0.85136612438438
"136",0.828689216319962
"137",0.803351658868913
"138",0.775282798181347
"139",0.744481802566486
"140",0.711032605197659
"141",0.896376120494221
"142",0.879595151911702
"143",0.860519514989062
"144",0.838974995318782
"145",0.814818790357257
"146",0.787954677431799
"147",0.758349186182747
"148",0.726047325346974
"149",0.69118592865366
"150",0.904851090228504
"151",0.889273033213934
"152",0.87150667273699
"153",0.85136612438438
"154",0.828689216319962
"155",0.803351658868913
"156",0.775282798181347
"157",0.744481802566486
"158",0.711032605197659
"159",0.904851090228504
"160",0.889273033213934
"161",0.87150667273699
"162",0.85136612438438
"163",0.828689216319962
"164",0.803351658868913
"165",0.775282798181347
"166",0.744481802566486
"167",0.711032605197659
"168",0.896376120494221
"169",0.904851090228504
"170",0.889273033213934
"171",0.87150667273699
"172",0.85136612438438
"173",0.828689216319962
"174",0.803351658868913
"175",0.775282798181347
"176",0.744481802566486
"177",0.711032605197659
"178",0.896376120494221
"179",0.879595151911702
"180",0.904851090228504
"181",0.889273033213934
"182",0.87150667273699
"183",0.85136612438438
"184",0.828689216319962
"185",0.803351658868913
"186",0.775282798181347
"187",0.744481802566486
"188",0.711032605197659
"189",0.904851090228504
"190",0.889273033213934
"191",0.87150667273699
"192",0.85136612438438
"193",0.828689216319962
"194",0.803351658868913
"195",0.775282798181347
"196",0.744481802566486
"197",0.711032605197659
"198",0.904851090228504
"199",0.889273033213934
"200",0.87150667273699
"201",0.85136612438438
"202",0.828689216319962
"203",0.803351658868913
"204",0.775282798181347
"205",0.744481802566486
"206",0.711032605197659
"207",0.896376120494221
"208",0.879595151911702
"209",0.860519514989062
"210",0.838974995318782
"211",0.814818790357257
"212",0.787954677431799
"213",0.758349186182747
"214",0.726047325346974
"215",0.69118592865366
"216",0.904851090228504
"217",0.889273033213934
"218",0.87150667273699
"219",0.85136612438438
"220",0.828689216319962
"221",0.803351658868913
"222",0.775282798181347
"223",0.744481802566486
"224",0.711032605197659
"225",0.904851090228504
"226",0.889273033213934
"227",0.87150667273699
"228",0.85136612438438
"229",0.828689216319962
"230",0.803351658868913
"231",0.775282798181347
"232",0.744481802566486
"233",0.711032605197659
"234",0.896376120494221
"235",0.879595151911702
"236",0.860519514989062
"237",0.838974995318782
"238",0.814818790357257
"239",0.787954677431799
"240",0.758349186182747
"241",0.726047325346974
"242",0.69118592865366
"243",0.904851090228504
"244",0.889273033213934
"245",0.87150667273699
"246",0.85136612438438
"247",0.828689216319962
"248",0.803351658868913
"249",0.775282798181347
"250",0.744481802566486
"251",0.711032605197659
"252",0.904851090228504
"253",0.889273033213934
"254",0.87150667273699
"255",0.85136612438438
"256",0.828689216319962
"257",0.803351658868913
"258",0.775282798181347
"259",0.744481802566486
"260",0.711032605197659
"261",0.896376120494221
"262",0.879595151911702
"263",0.860519514989062
"264",0.838974995318782
"265",0.814818790357257
"266",0.787954677431799
"267",0.758349186182747
"268",0.726047325346974
"269",0.69118592865366
"270",0.896376120494221
"271",0.879595151911702
"272",0.860519514989062
"273",0.838974995318782
"274",0.814818790357257
"275",0.787954677431799
"276",0.758349186182747
"277",0.726047325346974
"278",0.69118592865366
"279",0.896376120494221
"280",0.879595151911702
"281",0.860519514989062
"282",0.838974995318782
"283",0.814818790357257
"284",0.787954677431799
"285",0.758349186182747
"286",0.726047325346974
"287",0.69118592865366
"288",0.904851090228504
"289",0.889273033213934
"290",0.87150667273699
"291",0.85136612438438
"292",0.828689216319962
"293",0.803351658868913
"294",0.775282798181347
"295",0.744481802566486
"296",0.711032605197659
"297",0.904851090228504
"298",0.889273033213934
"299",0.87150667273699
"300",0.85136612438438
"301",0.828689216319962
"302",0.803351658868913
"303",0.775282798181347
"304",0.744481802566486
"305",0.711032605197659
"306",0.896376120494221
"307",0.879595151911702
"308",0.860519514989062
"309",0.838974995318782
"310",0.814818790357257
"311",0.787954677431799
"312",0.758349186182747
"313",0.726047325346974
"314",0.69118592865366
"315",0.904851090228504
"316",0.889273033213934
"317",0.87150667273699
"318",0.85136612438438
"319",0.828689216319962
"320",0.803351658868913
"321",0.775282798181347
"322",0.744481802566486
"323",0.711032605197659
"324",0.904851090228504
"325",0.889273033213934
"326",0.87150667273699
"327",0.85136612438438
"328",0.828689216319962
"329",0.803351658868913
"330",0.775282798181347
"331",0.744481802566486
"332",0.711032605197659
"333",0.896376120494221
"334",0.879595151911702
"335",0.860519514989062
"336",0.838974995318782
"337",0.814818790357257
"338",0.787954677431799
"339",0.758349186182747
"340",0.726047325346974
"341",0.69118592865366
"342",0.904851090228504
"343",0.889273033213934
"344",0.87150667273699
"345",0.85136612438438
"346",0.828689216319962
"347",0.803351658868913
"348",0.775282798181347
"349",0.744481802566486
"350",0.711032605197659
"351",0.896376120494221
"352",0.879595151911702
"353",0.860519514989062
"354",0.838974995318782
"355",0.814818790357257
"356",0.787954677431799
"357",0.758349186182747
"358",0.726047325346974
"359",0.69118592865366
"360",0.904851090228504
"361",0.889273033213934
"362",0.87150667273699
"363",0.85136612438438
"364",0.828689216319962
"365",0.803351658868913
"366",0.775282798181347
"367",0.744481802566486
"368",0.711032605197659
"369",0.896376120494221
"370",0.879595151911702
"371",0.860519514989062
"372",0.838974995318782
"373",0.814818790357257
"374",0.787954677431799
"375",0.758349186182747
"376",0.726047325346974
"377",0.69118592865366
"378",0.904851090228504
"379",0.889273033213934
"380",0.87150667273699
"381",0.85136612438438
"382",0.828689216319962
"383",0.803351658868913
"384",0.775282798181347
"385",0.744481802566486
"386",0.711032605197659
"387",0.904851090228504
"388",0.889273033213934
"389",0.87150667273699
"390",0.85136612438438
"391",0.828689216319962
"392",0.803351658868913
"393",0.775282798181347
"394",0.744481802566486
"395",0.711032605197659
"396",0.896376120494221
"397",0.879595151911702
"398",0.860519514989062
"399",0.838974995318782
"400",0.814818790357257
"401",0.787954677431799
"402",0.758349186182747
"403",0.726047325346974
"404",0.69118592865366
"405",0.896376120494221
"406",0.879595151911702
"407",0.860519514989062
"408",0.838974995318782
"409",0.814818790357257
"410",0.787954677431799
"411",0.758349186182747
"412",0.726047325346974
"413",0.69118592865366
"414",0.896376120494221
"415",0.879595151911702
"416",0.860519514989062
"417",0.838974995318782
"418",0.814818790357257
"419",0.787954677431799
"420",0.758349186182747
"421",0.726047325346974
"422",0.69118592865366
"423",0.896376120494221
"424",0.879595151911702
"425",0.860519514989062
"426",0.838974995318782
"427",0.814818790357257
"428",0.787954677431799
"429",0.758349186182747
"430",0.726047325346974
"431",0.69118592865366
"432",0.904851090228504
"433",0.889273033213934
"434",0.87150667273699
"435",0.85136612438438
"436",0.828689216319962
"437",0.803351658868913
"438",0.775282798181347
"439",0.744481802566486
"440",0.711032605197659
"441",0.904851090228504
"442",0.889273033213934
"443",0.87150667273699
"444",0.85136612438438
"445",0.828689216319962
"446",0.803351658868913
"447",0.775282798181347
"448",0.744481802566486
"449",0.711032605197659
"450",0.896376120494221
"451",0.879595151911702
"452",0.860519514989062
"453",0.838974995318782
"454",0.814818790357257
"455",0.787954677431799
"456",0.758349186182747
"457",0.726047325346974
"458",0.69118592865366
"459",0.904851090228504
"460",0.889273033213934
"461",0.87150667273699
"462",0.85136612438438
"463",0.828689216319962
"464",0.803351658868913
"465",0.775282798181347
"466",0.744481802566486
"467",0.711032605197659
"468",0.904851090228504
"469",0.889273033213934
"470",0.87150667273699
"471",0.85136612438438
"472",0.828689216319962
"473",0.803351658868913
"474",0.775282798181347
"475",0.744481802566486
"476",0.711032605197659
"477",0.896376120494221
"478",0.879595151911702
"479",0.860519514989062
"480",0.838974995318782
"481",0.814818790357257
"482",0.787954677431799
"483",0.758349186182747
"484",0.726047325346974
"485",0.69118592865366
"486",0.904851090228504
"487",0.889273033213934
"488",0.87150667273699
"489",0.85136612438438
"490",0.828689216319962
"491",0.803351658868913
"492",0.775282798181347
"493",0.744481802566486
"494",0.711032605197659
"495",0.904851090228504
"496",0.889273033213934
"497",0.87150667273699
"498",0.85136612438438
"499",0.828689216319962
"500",0.803351658868913
"501",0.775282798181347
"502",0.744481802566486
"503",0.711032605197659
"504",0.904851090228504
